;players;;;win;;score;game of (excl 2points gap);date;;
;(will);(phil);;(1)/(0) *selon le joueur de gauche;;(11-6);(11);(2024-03-12);;ERREUR?
;É;V;;1;7;4;7;2024-03-26;;
;É;V;;1;7;2;7;2024-03-26;;
;É;V;;1;7;1;7;2024-03-26;;
;É;V;;1;7;0;7;2024-03-26;;
;É;V;;1;7;4;7;2024-03-26;;
;É;V;;1;7;4;7;2024-03-26;;
;É;V;;1;7;4;7;2024-03-26;;
;É;V;;1;7;1;7;2024-03-26;;
;É;V;;1;7;6;7;2024-03-26;;
;V;É;;1;7;3;7;2024-03-26;;
;É;V;;1;7;6;7;2024-03-26;;
;V;É;;1;7;3;7;2024-03-26;;
;É;V;;1;7;1;7;2024-03-26;;
;É;V;;1;7;4;7;2024-03-26;;
;É;V;;1;7;6;7;2024-03-26;;
;É;V;;1;7;3;7;2024-03-26;;
;É;V;;1;21;16;21;2024-03-26;;
;É;W;;1;8;0;8;2024-03-26;;
;W;É;;1;7;3;7;2024-03-26;;
;É;W;;1;7;2;7;2024-03-26;;
;É;W;;1;11;9;7;2024-03-26;;
;É;V;;1;7;4;7;2024-03-26;;
;W;V;;1;7;2;7;2024-03-26;;
;É;V;;1;7;3;7;2024-03-26;;
;V;W;;1;7;4;7;2024-03-26;;
;É;W;;1;7;4;7;2024-03-26;;
;W;P;;1;11;4;11;2024-03-26;;
;V;É;;0;5;7;7;2024-03-26;;
W;V;P;É;1;11;9;11;2024-03-26;;
W;É;V;P;1;11;4;11;2024-03-26;;
W;P;V;É;0;11;13;11;2024-03-26;;
;W;V;;1;5;3;5;2024-03-26;;
;V;X;;1;5;3;5;2024-03-28;;
;W;V;;1;5;1;5;2024-03-28;;
;É;W;;1;5;2;5;2024-03-28;;
;É;X;;1;5;2;5;2024-03-28;;
;É;X;;1;5;4;5;2024-03-28;;
;É;V;;1;5;1;5;2024-03-28;;
;W;X;;1;5;2;5;2024-03-28;;
;V;X;;1;5;1;5;2024-03-28;;
;É;V;;1;6;4;5;2024-03-28;;
;W;É;;1;5;1;5;2024-03-28;;
;W;V;;1;5;3;5;2024-03-28;;
;W;É;;1;5;3;5;2024-03-28;;
;W;V;;1;5;3;5;2024-03-28;;
;É;W;;1;5;0;5;2024-03-28;;
;É;V;;1;5;3;5;2024-03-28;;
;W;É;;1;5;3;5;2024-03-28;;
;W;V;;1;5;1;5;2024-03-28;;
;W;É;;1;5;2;5;2024-03-28;;
;W;V;;1;5;1;5;2024-03-28;;
;É;V;;1;7;5;5;2024-03-28;;
;É;V;;1;5;1;5;2024-03-28;;
;W;V;;1;7;3;7;2024-03-28;;
;W;V;;1;7;5;7;2024-03-28;;
;W;É;;1;8;6;7;2024-03-28;;
;É;W;;1;8;6;7;2024-03-28;;
;É;W;;1;7;5;7;2024-03-28;;
;W;É;;1;8;6;7;2024-03-28;;
;W;É;;1;7;4;7;2024-03-28;;
;É;W;;1;8;6;7;2024-03-28;;
;W;É;;1;7;5;7;2024-03-28;;
;W;É;;1;7;4;7;2024-03-28;;
;W;É;;1;7;3;7;2024-03-28;;
;W;V;;1;7;5;5;2024-04-02;;
;W;P;;1;5;3;5;2024-04-02;;
;W;V;;1;7;5;5;2024-04-02;;
W;É;P;V;1;11;6;11;2024-04-02;;
P;É;W;V;1;11;8;11;2024-04-02;;
W;P;É;V;1;11;8;11;2024-04-02;;
W;É;P;V;1;11;6;11;2024-04-02;;
W;V;É;P;0;7;11;11;2024-04-02;;
W;P;V;É;1;11;7;11;2024-04-02;;
;P;V;;1;5;3;5;2024-04-02;;
W;V;P;É;1;11;7;11;2024-04-02;;
W;É;P;V;1;11;5;11;2024-04-02;;
W;P;V;É;1;11;8;11;2024-04-02;;
W;V;P;É;0;9;11;11;2024-04-02;;
W;É;V;P;1;11;5;11;2024-04-02;;
W;P;É;V;1;11;6;11;2024-04-02;;
W;V;É;P;1;11;9;11;2024-04-02;;
W;É;P;V;1;13;11;11;2024-04-02;;
W;P;V;É;0;9;11;11;2024-04-02;;
W;V;P;É;0;9;11;11;2024-04-02;;
W;É;P;V;1;11;9;11;2024-04-02;;
W;P;V;É;0;10;12;11;2024-04-02;;
W;V;P;É;1;11;9;11;2024-04-02;;
W;É;P;V;1;11;9;11;2024-04-02;;
W;P;V;É;1;11;9;11;2024-04-02;;
;É;V;;1;7;3;7;2024-04-02;;
;É;P;;1;7;1;7;2024-04-02;;
;É;W;;1;7;5;7;2024-04-02;;
;É;V;;1;7;3;7;2024-04-02;;
;P;V;;1;7;2;7;2024-04-02;;
;W;P;;1;7;5;7;2024-04-02;;
;W;É;;1;7;1;7;2024-04-02;;
;W;V;;1;7;3;7;2024-04-02;;
;W;P;;1;7;5;7;2024-04-02;;
;É;V;;1;7;2;7;2024-04-02;;
;É;P;;0;7;9;7;2024-04-02;;
;P;W;;1;7;5;7;2024-04-02;;
;P;V;;1;8;6;7;2024-04-02;;
;P;É;;1;7;4;7;2024-04-02;;
;W;P;;1;7;3;7;2024-04-02;;
;W;V;;1;7;4;7;2024-04-02;;
;É;V;;1;7;1;7;2024-04-02;;
;P;V;;1;7;4;7;2024-04-02;;
;P;V;;1;7;4;7;2024-04-02;;
;P;V;;1;7;4;7;2024-04-02;;
;P;X;;1;3;0;3;2024-04-18;;
;P;A;;1;3;0;3;2024-04-18;;
;W;P;;1;5;0;5;2024-04-18;;
;W;X;;1;5;2;5;2024-04-18;;
;W;A;;1;5;1;5;2024-04-18;;
;P;A;;1;10;8;5;2024-04-18;;
;P;É;;1;5;2;5;2024-04-18;;
;P;W;;1;5;2;5;2024-04-18;;
;A;X;;1;5;2;5;2024-04-18;;
;É;A;;1;5;1;5;2024-04-18;;
;W;É;;1;5;0;5;2024-04-18;;
;W;P;;1;9;8;5;2024-04-18;;
;W;A;;1;5;3;5;2024-04-18;;
;É;P;;1;9;7;5;2024-04-18;;
;V;P;;1;5;1;5;2024-04-23;;
;É;V;;1;5;3;5;2024-04-23;;
;P;É;;1;5;3;5;2024-04-23;;
;V;P;;1;5;2;5;2024-04-23;;
;É;V;;1;5;4;5;2024-04-23;;
;P;É;;1;5;3;5;2024-04-23;;
;V;P;;1;5;4;5;2024-04-23;;
;W;V;;1;5;3;5;2024-04-23;;
;P;W;;1;7;5;5;2024-04-23;;
;P;V;;1;5;3;5;2024-04-23;;
;É;P;;1;15;13;5;2024-04-23;;
;W;É;;1;5;3;5;2024-04-23;;
;W;V;;1;5;3;5;2024-04-23;;
;W;P;;1;5;0;5;2024-04-23;;
;É;W;;1;5;2;5;2024-04-23;;
;V;É;;1;5;0;5;2024-04-23;;
;P;V;;1;5;1;5;2024-04-23;;
;W;P;;1;5;3;5;2024-04-23;;
;W;V;;1;5;1;5;2024-04-23;;
;W;V;;1;5;3;5;2024-04-23;;
;É;P;;1;6;4;5;2024-04-23;;
;É;V;;1;5;2;5;2024-04-23;;
;W;É;;1;5;0;5;2024-04-23;;
;P;W;;1;5;3;5;2024-04-23;;
;P;V;;1;5;2;5;2024-04-23;;
;É;P;;1;6;4;5;2024-04-23;;
;É;V;;1;6;4;5;2024-04-23;;
;P;V;;1;5;0;5;2024-04-23;;
;W;V;;1;5;0;5;2024-04-23;;
;W;É;;1;5;1;5;2024-04-23;;
;W;P;;1;5;2;5;2024-04-23;;
;É;W;;1;8;6;5;2024-04-23;;
;P;É;;1;5;1;5;2024-04-23;;
;W;P;;1;5;2;5;2024-04-23;;
;W;É;;1;6;4;5;2024-04-23;;
;É;W;;1;5;1;5;2024-04-25;;
;É;CS;;1;5;4;5;2024-04-25;;
;W;É;;1;5;4;5;2024-04-25;;
;W;CS;;1;5;3;5;2024-04-25;;
;É;CS;;1;5;4;5;2024-04-25;;
;W;É;;1;5;4;5;2024-04-25;;
;W;CS;;1;5;1;5;2024-04-25;;
;W;É;;1;5;0;5;2024-04-25;;
;É;CS;;1;5;4;5;2024-04-25;;
;W;É;;1;5;2;5;2024-04-25;;
;W;CS;;1;5;2;5;2024-04-25;;
;É;W;;1;5;3;5;2024-04-25;;
;É;CS;;1;5;0;5;2024-04-25;;
;É;W;;1;5;4;5;2024-04-25;;
;É;CS;;1;5;1;5;2024-04-25;;
;É;W;;1;5;3;5;2024-04-25;;
;É;CS;;1;5;1;5;2024-04-25;;
;W;É;;1;5;2;5;2024-04-25;;
;W;CS;;1;5;1;5;2024-04-25;;
;É;W;;1;5;4;5;2024-04-25;;
;W;É;;1;7;4;7;2024-04-25;;
;É;P;;1;7;6;7;2024-05-06;;
;W;É;;1;7;4;7;2024-05-06;;
;W;P;;1;7;1;7;2024-05-06;;
;W;É;;1;7;3;7;2024-05-06;;
;P;W;;1;7;4;7;2024-05-06;;
;É;P;;1;7;2;7;2024-05-06;;
;W;É;;1;7;4;7;2024-05-06;;
;W;P;;1;7;5;7;2024-05-06;;
;W;É;;1;7;3;7;2024-05-06;;
;W;P;;1;7;0;7;2024-05-06;;
;É;W;;1;7;5;7;2024-05-06;;
;P;É;;1;7;6;7;2024-05-06;;
;W;P;;1;7;6;7;2024-05-06;;
;É;W;;1;7;6;7;2024-05-06;;
;É;P;;1;7;4;7;2024-05-06;;
;É;W;;1;7;5;7;2024-05-06;;
;É;P;;1;7;6;7;2024-05-06;;
;W;É;;1;7;3;7;2024-05-06;;
;W;P;;1;7;5;7;2024-05-06;;
;W;É;;1;7;3;7;2024-05-06;;
;W;P;;1;7;5;7;2024-05-06;;
;É;W;;1;7;5;7;2024-05-06;;
;É;P;;1;7;3;7;2024-05-06;;
